"chr","cm.pos","mb.pos"
"9:1438448","9",0,1.438448
"9:3694173","9",1e-07,3.694173
"9:3723548","9",2e-07,3.723548
"9:4220722","9",1.15620906753892,4.220722
"9:4314238","9",1.15620916753892,4.314238
"9:5110284","9",1.15620926753892,5.110284
"9:5508218","9",1.15620936753892,5.508218
"9:5508300","9",1.15620946753892,5.5083
"9:5508392","9",1.15620956753892,5.508392
"9:5523470","9",1.15620966753892,5.52347
"9:5523578","9",1.15620976753892,5.523578
"9:5842409","9",1.15620986753892,5.842409
"9:6158591","9",3.33922580975919,6.158591
"9:6297905","9",3.33922590975919,6.297905
"9:6297959","9",3.33922600975919,6.297959
"9:6628699","9",4.05729903408092,6.628699
"9:6910571","9",4.05729913408092,6.910571
"9:6963170","9",4.63409539182559,6.96317
"9:7042876","9",4.63409549182559,7.042876
"9:7341177","9",4.63409559182559,7.341177
"9:7583220","9",4.63409569182559,7.58322
"9:7866318","9",5.88157356002829,7.866318
"9:8990418","9",12.0539810639842,8.990418
"9:8990814","9",12.0539811639842,8.990814
"9:9275809","9",12.0539812639842,9.275809
"9:10858904","9",14.0733127220366,10.858904
"9:10994561","9",14.0733128220366,10.994561
"9:13296878","9",18.4416955206974,13.296878
"9:13554596","9",20.5623324639154,13.554596
"9:13698606","9",20.5623325639154,13.698606
"9:14044025","9",20.5623326639154,14.044025
"9:14044179","9",20.5623327639154,14.044179
"9:14563567","9",20.5623328639154,14.563567
"9:14572198","9",20.5623329639154,14.572198
"9:14572287","9",20.5623330639154,14.572287
"9:15352513","9",21.3591482795823,15.352513
"9:16544032","9",24.6408253493825,16.544032
"9:16563041","9",24.6408254493825,16.563041
"9:16563159","9",24.6408255493825,16.563159
"9:16602275","9",24.6408256493825,16.602275
"9:16602345","9",24.6408257493825,16.602345
"9:16629571","9",24.6408258493825,16.629571
"9:16629592","9",24.6408259493825,16.629592
"9:16629705","9",24.6408260493825,16.629705
"9:17386463","9",24.6408261493825,17.386463
"9:17601477","9",25.2170698557197,17.601477
"9:17601635","9",25.2170699557197,17.601635
"9:17728991","9",25.2170700557197,17.728991
"9:17740740","9",25.2170701557197,17.74074
"9:18616713","9",25.2170702557197,18.616713
"9:18643016","9",25.2170703557197,18.643016
"9:19994666","9",25.5048378629442,19.994666
"9:20305533","9",25.7926630053594,20.305533
"9:20446586","9",25.7926631053594,20.446586
"9:21350377","9",25.7926632053594,21.350377
"9:22652646","9",26.9487382686652,22.652646
"9:22997614","9",26.9487383686652,22.997614
"9:22997786","9",26.9487384686652,22.997786
"9:23027040","9",26.9487385686652,23.02704
"9:23823392","9",27.5252476249999,23.823392
"9:23823417","9",27.5252477249999,23.823417
"9:24061773","9",27.5252478249999,24.061773
"9:24659156","9",28.1266110992022,24.659156
"9:28991982","9",52.9186588964303,28.991982
"9:29539196","9",52.9186589964303,29.539196
"9:30457012","9",52.9186590964303,30.457012
"9:31012716","9",57.3879351291008,31.012716
"9:31012824","9",57.8678561277154,31.012824
"9:31012899","9",57.8678562277154,31.012899
"9:31264341","9",61.1105219404832,31.264341
"9:31318733","9",61.1105220404832,31.318733
"9:31883804","9",61.1105221404832,31.883804
"9:32570874","9",62.5384323136397,32.570874
